configuration_id,run_id,history_file,stage,split,seed,count_weight,trace_alpha,sigma,samples_per_generation,population_size,decay,threshold,max_generations,generations_run,best_training_fitness,best_validation_loss,loss,trace_loss,count_loss,precision,recall,f1,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,input_spikes,output_spikes,spike_ratio,silent_loss,silent_trace_loss,silent_count_loss
stage_1__cw0p05__ta0p9__sig0p1__spg16__pop17__dec0p9__th1,stage_1__cw0p05__ta0p9__sig0p1__spg16__pop17__dec0p9__th1__seed505,GridSearchOuts/history/stage_1__cw0p05__ta0p9__sig0p1__spg16__pop17__dec0p9__th1__seed505.csv,stage_1,validation,505,0.05,0.9,0.1,16,17,0.9,1.0,250,250,0.03989921212195147,0.052408889904659535,0.05165705654393217,0.05142176838738696,0.0047057631309039396,0.7200878564514929,0.6890986818667617,0.7042525304007237,0.7624028987665351,0.729592684954281,0.7456370300245009,0.783411510684238,0.74969718560741,0.7661836452336078,84210.0,80586,0.9569647310295689,0.2800867641465109,0.23008676414651102,0.9999999999999973
stage_1__cw0p05__ta0p9__sig0p1__spg16__pop32__dec0p9__th1,stage_1__cw0p05__ta0p9__sig0p1__spg16__pop32__dec0p9__th1__seed505,GridSearchOuts/history/stage_1__cw0p05__ta0p9__sig0p1__spg16__pop32__dec0p9__th1__seed505.csv,stage_1,validation,505,0.05,0.9,0.1,16,32,0.9,1.0,250,123,0.049849167798461894,0.06606731636419623,0.0673591092816183,0.06633991647744847,0.02038385608339693,0.7016225402979526,0.6275026718916993,0.662495925377501,0.7480680882704411,0.6690416815105095,0.7063513954008206,0.766324986058369,0.6853699085619285,0.7235901807873454,84210.0,75314,0.8943593397458734,0.2800867641465109,0.23008676414651102,0.9999999999999973
stage_1__cw0p05__ta0p9__sig0p1__spg16__pop32__dec0p9__th1,stage_1__cw0p05__ta0p9__sig0p1__spg16__pop32__dec0p9__th1__seed404,GridSearchOuts/history/stage_1__cw0p05__ta0p9__sig0p1__spg16__pop32__dec0p9__th1__seed404.csv,stage_1,validation,404,0.05,0.9,0.1,16,32,0.9,1.0,250,157,0.052854114141581185,0.06298725853457104,0.06378021282266577,0.06316071910970568,0.012389874259202132,0.6768014241118651,0.6230495190594941,0.6488140875022832,0.7282319857588814,0.6703954399714999,0.6981178740133014,0.7500838471659658,0.6905118156988481,0.7190661093656127,84210.0,77522,0.9205795036218977,0.2800867641465109,0.23008676414651102,0.9999999999999973
stage_1__cw0p05__ta0p9__sig0p1__spg16__pop32__dec0p9__th1,stage_1__cw0p05__ta0p9__sig0p1__spg16__pop32__dec0p9__th1__seed303,GridSearchOuts/history/stage_1__cw0p05__ta0p9__sig0p1__spg16__pop32__dec0p9__th1__seed303.csv,stage_1,validation,303,0.05,0.9,0.1,16,32,0.9,1.0,250,196,0.049817719814404124,0.0555377972818379,0.05880369099719379,0.05662003429642239,0.043673134015427356,0.7154767733202776,0.5900368127300796,0.6467303587228868,0.7658180456757768,0.6315520722004513,0.692234601967537,0.7872159663623535,0.649198432490203,0.7115765085640905,84210.0,69446,0.8246764042275264,0.2800867641465109,0.23008676414651102,0.9999999999999973
stage_1__cw0p05__ta0p9__sig0p1__spg16__pop32__dec0p9__th1,stage_1__cw0p05__ta0p9__sig0p1__spg16__pop32__dec0p9__th1__seed202,GridSearchOuts/history/stage_1__cw0p05__ta0p9__sig0p1__spg16__pop32__dec0p9__th1__seed202.csv,stage_1,validation,202,0.05,0.9,0.1,16,32,0.9,1.0,250,250,0.046201279837806815,0.05797556083234447,0.05998364886313017,0.059655051059750025,0.006571956067602037,0.6826151154566774,0.6532953330958319,0.6676334775454187,0.724169592892683,0.6930649566559791,0.7082759415782336,0.7421612298834886,0.7102838142738392,0.7258727086273771,84210.0,80593,0.9570478565491034,0.2800867641465109,0.23008676414651102,0.9999999999999973
stage_1__cw0p05__ta0p9__sig0p1__spg16__pop48__dec0p9__th1,stage_1__cw0p05__ta0p9__sig0p1__spg16__pop48__dec0p9__th1__seed101,GridSearchOuts/history/stage_1__cw0p05__ta0p9__sig0p1__spg16__pop48__dec0p9__th1__seed101.csv,stage_1,validation,101,0.05,0.9,0.1,16,48,0.9,1.0,250,138,0.05810224155449526,0.06430377087336604,0.06885717209315978,0.06840028177953691,0.009137806272457149,0.609292100609157,0.5891343070894193,0.5990436746073704,0.65689477303989,0.6351620947630923,0.6458456597070481,0.6812856160345844,0.658745992162451,0.6698262434036321,84210.0,81424,0.9669160432252701,0.2800867641465109,0.23008676414651102,0.9999999999999973
stage_1__cw0p05__ta0p9__sig0p1__spg16__pop48__dec0p9__th1,stage_1__cw0p05__ta0p9__sig0p1__spg16__pop48__dec0p9__th1__seed303,GridSearchOuts/history/stage_1__cw0p05__ta0p9__sig0p1__spg16__pop48__dec0p9__th1__seed303.csv,stage_1,validation,303,0.05,0.9,0.1,16,48,0.9,1.0,250,127,0.055146684621171976,0.0654572738112222,0.07020548647754296,0.0694142288708159,0.01582515213454102,0.6448914021334019,0.5958793492459328,0.6194173558814906,0.696812749003984,0.6438546490915569,0.6692877422535436,0.724084307929572,0.6690535565847286,0.6954820392539138,84210.0,77810,0.9239995249970312,0.2800867641465109,0.23008676414651102,0.9999999999999973
stage_1__cw0p05__ta0p9__sig0p1__spg16__pop48__dec0p9__th1,stage_1__cw0p05__ta0p9__sig0p1__spg16__pop48__dec0p9__th1__seed202,GridSearchOuts/history/stage_1__cw0p05__ta0p9__sig0p1__spg16__pop48__dec0p9__th1__seed202.csv,stage_1,validation,202,0.05,0.9,0.1,16,48,0.9,1.0,250,152,0.04564381950627098,0.05421644965998901,0.056570611605069016,0.05533800741917199,0.024652083717940237,0.7163222440544752,0.6277282983018644,0.6691054080562091,0.7707432752896538,0.6754185963662273,0.7199392424285392,0.7952300291347653,0.6968768554803467,0.7428119363306309,84210.0,73795,0.8763211020068875,0.2800867641465109,0.23008676414651102,0.9999999999999973
stage_1__cw0p05__ta0p9__sig0p1__spg16__pop48__dec0p9__th1,stage_1__cw0p05__ta0p9__sig0p1__spg16__pop48__dec0p9__th1__seed505,GridSearchOuts/history/stage_1__cw0p05__ta0p9__sig0p1__spg16__pop48__dec0p9__th1__seed505.csv,stage_1,validation,505,0.05,0.9,0.1,16,48,0.9,1.0,250,119,0.05719822862065571,0.067655651593784,0.07226341737664066,0.07169078849900666,0.011452577552678691,0.5928266589452746,0.5591972449827811,0.5755211038658435,0.6413077688114511,0.6049281558009738,0.6225869728611566,0.6651139954427001,0.6273839211495071,0.6456982577923788,84210.0,79433,0.9432727704548154,0.2800867641465109,0.23008676414651102,0.9999999999999973
stage_1__cw0p05__ta0p9__sig0p1__spg24__pop17__dec0p9__th1,stage_1__cw0p05__ta0p9__sig0p1__spg24__pop17__dec0p9__th1__seed202,GridSearchOuts/history/stage_1__cw0p05__ta0p9__sig0p1__spg24__pop17__dec0p9__th1__seed202.csv,stage_1,validation,202,0.05,0.9,0.1,24,17,0.9,1.0,250,170,0.0547906863957727,0.06029725327512841,0.06350567676870242,0.06295296140637179,0.011054307246612558,0.6165750145565116,0.5658710366939793,0.590135917520167,0.671786245713916,0.6165419783873649,0.6429796588124671,0.7000841042893188,0.6425127657047857,0.6700640886709768,84210.0,77285,0.9177651110319439,0.2800867641465109,0.23008676414651102,0.9999999999999973
